timestamp,market_id,market_question,category,outcome,side,size_usdc,price,transaction_hash,market_end_date,days_to_resolution,market_volume_usdc,spread,resolved_win,base_prob
2023-09-04 03:28:05.532011+00:00,0xdec48a79,Will there be a US government shutdown in March?,politics,NO,BUY,1104.49,0.4989,0x00000000000000000000000000000000000000000000000000000000000186bf,2023-09-06 20:35:48.281419+00:00,2.71,492320.0,0.0149,False,0.45
2023-09-06 18:33:12.054066+00:00,0xb8a68713,Will US unemployment exceed 5% in 2024?,politics,NO,BUY,3514.68,0.55,0x00000000000000000000000000000000000000000000000000000000000186c1,2023-09-10 00:15:47.219322+00:00,3.24,229918.0,0.0531,False,0.18
2023-09-07 02:51:42.872928+00:00,0xdec48a79,Will there be a US government shutdown in March?,politics,NO,SELL,87.0,0.0393,0x00000000000000000000000000000000000000000000000000000000000186c0,2023-09-06 20:35:48.281419+00:00,0.0,,,False,0.45
2023-09-07 20:19:44.960949+00:00,0xde035e2d,Will US unemployment exceed 5% in 2024?,politics,NO,BUY,1422.21,0.1619,0x00000000000000000000000000000000000000000000000000000000000186ad,2023-09-11 06:09:40.266108+00:00,3.41,458556.0,0.0329,True,0.18
2023-09-07 23:52:38.946127+00:00,0xaddd8d68,"Will ETH reach $4,000 before May 2024?",crypto,NO,BUY,323.79,0.55,0x00000000000000000000000000000000000000000000000000000000000186a1,2023-09-15 16:03:08.614740+00:00,7.67,30415.0,0.0147,True,0.41
2023-09-10 07:56:46.462121+00:00,0xb8a68713,Will US unemployment exceed 5% in 2024?,politics,NO,SELL,254.34,0.0398,0x00000000000000000000000000000000000000000000000000000000000186c2,2023-09-10 00:15:47.219322+00:00,0.0,,,False,0.18
2023-09-11 11:06:14.524662+00:00,0xde035e2d,Will US unemployment exceed 5% in 2024?,politics,NO,SELL,8396.22,0.9558,0x00000000000000000000000000000000000000000000000000000000000186ae,2023-09-11 06:09:40.266108+00:00,0.0,,,True,0.18
2023-09-12 14:22:56.737283+00:00,0xc9fff6e5,Will Trump be convicted before election?,politics,NO,BUY,562.51,0.4074,0x00000000000000000000000000000000000000000000000000000000000186ab,2023-09-15 01:40:38.516432+00:00,2.47,391360.0,0.0215,False,0.48
2023-09-14 12:02:10.342320+00:00,0xb7979d68,Will Elon Musk remain Twitter CEO through Dec 2024?,politics,YES,BUY,522.14,0.635,0x00000000000000000000000000000000000000000000000000000000000186a9,2023-09-18 22:08:36.494910+00:00,4.42,346521.0,0.0136,True,0.68
2023-09-14 20:17:45.167104+00:00,0xbac2eba8,Will Zelensky remain president through 2024?,politics,YES,BUY,2719.53,0.45,0x00000000000000000000000000000000000000000000000000000000000186b9,2023-09-17 00:01:42.369899+00:00,2.16,276559.0,0.0465,True,0.78
2023-09-15 04:23:07.900862+00:00,0xc9fff6e5,Will Trump be convicted before election?,politics,NO,SELL,61.72,0.0447,0x00000000000000000000000000000000000000000000000000000000000186ac,2023-09-15 01:40:38.516432+00:00,0.0,,,False,0.48
2023-09-15 20:41:09.375216+00:00,0xaddd8d68,"Will ETH reach $4,000 before May 2024?",crypto,NO,SELL,580.0,0.9852,0x00000000000000000000000000000000000000000000000000000000000186a2,2023-09-15 16:03:08.614740+00:00,0.0,,,True,0.41
2023-09-17 04:21:34.150650+00:00,0xbac2eba8,Will Zelensky remain president through 2024?,politics,YES,SELL,5772.66,0.9552,0x00000000000000000000000000000000000000000000000000000000000186ba,2023-09-17 00:01:42.369899+00:00,0.0,,,True,0.78
2023-09-19 06:38:21.344551+00:00,0xb7979d68,Will Elon Musk remain Twitter CEO through Dec 2024?,politics,YES,SELL,800.15,0.9731,0x00000000000000000000000000000000000000000000000000000000000186aa,2023-09-18 22:08:36.494910+00:00,0.0,,,True,0.68
2023-09-19 11:31:50.402498+00:00,0xfab3d637,"Will ETH reach $4,000 before May 2024?",crypto,NO,BUY,696.84,0.5565,0x00000000000000000000000000000000000000000000000000000000000186b5,2023-09-23 03:59:41.072328+00:00,3.69,272222.0,0.01,False,0.41
2023-09-19 15:49:02.314093+00:00,0xddbc2dfd,"Will NVDA hit $1,000 before June 2024?",crypto,YES,BUY,1382.4,0.45,0x00000000000000000000000000000000000000000000000000000000000186bb,2023-09-29 14:46:10.453833+00:00,9.96,126606.0,0.021,True,0.55
2023-09-20 15:22:44.895718+00:00,0xfafa26e2,Will BTC halving occur before April 20 2024?,crypto,YES,BUY,2367.95,0.45,0x00000000000000000000000000000000000000000000000000000000000186b1,2023-09-23 01:56:06.900257+00:00,2.44,283315.0,0.0571,True,0.85
2023-09-21 17:42:29.455561+00:00,0xae0f87d9,Will Macron resign before 2025?,politics,NO,BUY,1051.79,0.55,0x00000000000000000000000000000000000000000000000000000000000186a3,2023-09-27 18:56:13.616502+00:00,6.05,383022.0,0.018,True,0.12
2023-09-22 08:25:15.840603+00:00,0xf284e93d,Will Elon Musk remain Twitter CEO through Dec 2024?,politics,YES,BUY,908.14,0.6364,0x00000000000000000000000000000000000000000000000000000000000186af,2023-09-28 04:50:24.581048+00:00,5.85,254355.0,0.0478,True,0.68
2023-09-22 11:47:32.950433+00:00,0xbe90c098,Will SOL exceed $200 in Q1 2024?,crypto,NO,BUY,153.8,0.55,0x00000000000000000000000000000000000000000000000000000000000186a5,2023-09-25 10:18:00.931848+00:00,2.94,36073.0,0.033,True,0.44
2023-09-22 20:42:01.966348+00:00,0xef65719a,"Will ETH reach $4,000 before May 2024?",crypto,NO,BUY,689.97,0.5582,0x00000000000000000000000000000000000000000000000000000000000186b3,2023-09-30 14:53:24.543310+00:00,7.76,486366.0,0.0481,False,0.41
2023-09-23 09:30:23.905659+00:00,0xfab3d637,"Will ETH reach $4,000 before May 2024?",crypto,NO,SELL,13.02,0.0104,0x00000000000000000000000000000000000000000000000000000000000186b6,2023-09-23 03:59:41.072328+00:00,0.0,,,False,0.41
2023-09-23 10:51:57.494916+00:00,0xfafa26e2,Will BTC halving occur before April 20 2024?,crypto,YES,SELL,5072.68,0.964,0x00000000000000000000000000000000000000000000000000000000000186b2,2023-09-23 01:56:06.900257+00:00,0.0,,,True,0.85
2023-09-24 20:25:59.641684+00:00,0xb4c01ff4,Will Israel-Hamas ceasefire happen by March 2024?,politics,NO,BUY,1160.63,0.3294,0x00000000000000000000000000000000000000000000000000000000000186a7,2023-09-30 19:40:26.436562+00:00,5.97,125531.0,0.0245,True,0.31
2023-09-25 09:00:30.163048+00:00,0xfe237bdc,Will Trump win 2024 presidential election?,politics,YES,BUY,929.99,0.45,0x00000000000000000000000000000000000000000000000000000000000186c3,2023-10-05 08:51:12.210486+00:00,9.99,118667.0,0.0301,True,0.52
